Feature	S9_Z05
14-3-3zeta	0
15	0
18w	0
2	25.2151
2242	0
26-29-p	0
3'tutase	0
4cl	129.743
4cl1	0
4cl2	0
4cl3	4.1384
4cl5	0
4ehp	0
4hbd	0
5	0
6	282.18411999999995
a	0
a1cf	0
a2m	0
a2ml1	0
a3galt2	0
a4galt	0
a4gnt	0
aaas	0
aaat	0
aac	39.25372
aac1	7.65531
aaca	0
aaca4	0
aaca4_1	0
aaca4_2	60.03188
aaca-aphd	90.3633
aacc	9.71
aacs	0
aad	0
aad14	0
aadac	0
aadacl2	0
aadacl3	0
aadat	10.9722
aadd	0
aadk	6.78906
aae15	0
aae7	28.730710000000002
aaea	0
aaeb	0
aaed1	0
aaer	0
aagab	0
aah	0
aah1	11.1236
aaid	5.59968
aak1	0
aamdc	0
aamp	0
aanat	0
aao	412.2739
aao2	0
aao3	0
aap1	0
aapa	0
aapj	1897.7168200000003
aapm	55.71034
aapp	91.435
aapq	192.52168999999998
aapt1	0
aar2	0
aara	3.62214
aarf	71.71163
aars	6.47858
aars2	0
aarsd1	18.3579
aas	233.58223999999998
aasdh	3.45888
aasdhppt	0
aass	0
aat	4313.192150000002
aat1	19.28766
aat11	0
aat1.3	0
aat14	0
aat15	0
aat16	0
aat2	0
aat20.1	0
aat22	0
aat25.1	0
aat28	0
aat8.1	0
aata	4273.884999999998
aatac	40.5322
aatb	408.01051999999993
aatc	360.02205000000004
aatf	0
aatk	0
aatk-as1	0
aats-arg	0
aats-ile	23.374999999999996
aats-lys	0
aats-ser	0
aaua	0
aaub	15.93993
aaxc	168.00549999999998
ab	0
aba2	0
aba3	0
abaa	0
abab	0
abab2	0
abat	18.05686
abc	0
abca	20.76841
abca1	5.67813
abca10	0
abca12	0
abca13	4.99022
abca14	0
abca15	0
abca17	0
abca2	0
abca3	10.7489
abca4	3.34453
abca5	3.51133
abca6	0
abca7	5.93741
abca8	0
abca9	0
abcb1	87.88188
abcb10	13.168429999999999
abcb11	152.51113
abcb2	0
abcb3	0
abcb4	5.50817
abcb5	0
abcb6	39.218759999999996
abcb7	0
abcb8	34.77192
abcb9	12.175650000000001
abcc1	5.44444
abcc10	0
abcc11	3.968
abcc12	0
abcc13	0
abcc2	14.7693
abcc3	5.21929
abcc4	14.80395
abcc5	0
abcc6	0
abcc8	0
abcc9	0
abcd1	0
abcd2	2.65588
abcd3	0
abcd4	0
abce1	7.31496
abcf1	3.08257
abcf2	0
abcf3	0
abcg1	0
abcg2	0
abcg4	0
abcg5	0
abcg6	0
abcg8	0
abch1	0
abch2	0
abch3	0
abcp-2	0
abcs-2	0
abc-sbp	0
abct	0
abct1	22.699959999999997
abct2	0
abct3	1054.109
abcz	22.11867
abd1	1.967
abf	0
abf1	0
abf2	0
abfa	8.34747
abfa1	0
abfb	15.4128
abfc	0
abfd	422.92923
abfr	0
abg	0
abga	148.74517
abgb	373.21336999999994
abgb_2	0
abgr	7.69889
abgt	211.7299
abgt_1	0
abgt_2	21.6246
abh1	0
abhd1	0
abhd10	0
abhd11	0
abhd12	0
abhd12b	7.87117
abhd13	5.3353
abhd14a	0
abhd14b	0
abhd15	0
abhd16a	0
abhd16b	0
abhd17a	0
abhd17b	0
abhd17c	0
abhd2	0
abhd3	0
abhd4	0
abhd5	24.6959
abhd6	0
abhd8	4.68641
abi1	0
abi2	0
abi3	0
abi3bp	0
abl1	0
abl2	0
abla	0
ablim1	0
ablim2	5.43275
ablim3	0
abma	43.34207
abmb	110.58217
abmc	37.657959999999996
abmd	0
abme	41.62625
abna	4.25806
abnb	0
abnc	0
abo	0
abo1	0
abp1	3.49163
abp140	0
abps	0
abr	0
abra	0
abracl	14.551369999999999
abrb	1112.9750459999998
abs	0
abt1	0
abtb1	0
abtb2	0
abz1	0
abz2	0
aca1	2.86124
aca10	0
aca4	0
acaa	11.7795
acaa1	2.01669
acaa2	28.02062
acab	140.46276
acab1	0
acab2	187.74041
acab3	0
acab4	0
acac	106.60551999999998
acaca	0
acacb	3.57703
acad	0
acad10	21.94086
acad11	168.26026000000002
acad8	0
acad9	0
acadl	96.11756000000001
acadm	410.25159
acads	18.73142
acadsb	0
acadvl	0
acan	0
acap	20.19052
acap1	0
acap2	0
acap3	0
acat1	0
acat2	40.508390000000006
acb	339.00725
acb1	465.6337199999999
acbb	0
acbd3	0
acbd4	0
acbd5	0
acbd6	27.54609
acbd7	0
acbp	0
acbp2	16.443849999999998
acbp4	3.68979
acbp5	0
acbp-6	0
acc1	0
acc2	0
acca	9712.613040000002
acca1	1105.9270900000004
acca2	161.55374
acca3	0
acca3_1	4.74916
accb	10391.040879999999
accbc	5.76923
accbc3	0
accc	10778.256649999994
accc_1	0
accc1	0
accc2	0
accc3	11.939540000000001
accd	9061.214359999989
accd1	16.81319
accd2	101.92831000000001
accd3	0
accd4	0
accd4_1	0
accd4_2	62.36609
accd5	2067.11254
accd6	3.89748
accda	0
acce	0
accr	85.75645
accs	0
accsl	0
acd	63.79239999999999
acd1	0
acd12	34.893679999999996
acd2	0
acd-5	0
acda	5793.693759999998
acda1	94.70491
acda3	0
acdab	7.93938
acdb	0
acdc	0
acdd	13.0734
acdg	0
acdh	0
acdp	239.27698
